member_name,member_start_date,member_end_date,political_party,administrative_region,gender,name
σταμπουλη αποστολου αφροδιτη,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,σερρων,female,afroditi_stampouli
σταμπουλη αποστολου αφροδιτη,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,σερρων,female,afroditi_stampouli
σταμπουλη αποστολου αφροδιτη,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,σερρων,female,afroditi_stampouli
αυλωνιτου βασιλειου ελενη,2014-03-27,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,female,eleni_aulonitou
αυλωνιτου βασιλειου ελενη,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,female,eleni_aulonitou
αυλωνιτου βασιλειου ελενη,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,female,eleni_aulonitou
σταρακα δημητριου χριστινα,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,αιτωλοακαρνανιας,female,xristina_staraka
σταρακα δημητριου χριστινα,2023-06-25,2023-11-13,πασοκ - κινημα αλλαγης,αιτωλοακαρνανιας,female,xristina_staraka
στασινος σωτηριου παυλος,2009-10-04,2012-02-10,πανελληνιο σοσιαλιστικο κινημα,αρτας,male,paulos_stasinos
σταυρινουδη-σοδη αριστειδη μαρια,2014-09-02,2014-12-31,νεα δημοκρατια,χιου,female,maria_staurinoudi-sodi
σταυρογιαννης δημητριου νικολαος,2004-03-07,2007-08-18,νεα δημοκρατια,φθιωτιδας,male,nikolaos_staurogiannis
σταυρογιαννης δημητριου νικολαος,2007-09-16,2009-09-07,νεα δημοκρατια,φθιωτιδας,male,nikolaos_staurogiannis
σταυρογιαννης δημητριου νικολαος,2013-11-06,2014-08-27,ανεξαρτητοι δημοκρατικοι βουλευτες,φθιωτιδας,male,nikolaos_staurogiannis
σταυρογιαννης δημητριου νικολαος,2012-10-22,2013-11-05,ανεξαρτητοι (εκτος κομματος),φθιωτιδας,male,nikolaos_staurogiannis
σταυρογιαννης δημητριου νικολαος,2012-06-17,2012-10-21,νεα δημοκρατια,φθιωτιδας,male,nikolaos_staurogiannis
σταυρου ευαγγελου αποστολος,1989-06-18,1989-10-12,νεα δημοκρατια,αττικης(υπολοιπο),male,apostolos_staurou
σταυρου ευαγγελου αποστολος,1989-11-05,1990-03-12,νεα δημοκρατια,αττικης(υπολοιπο),male,apostolos_staurou
σταυρου ευαγγελου αποστολος,1990-04-08,1993-09-11,νεα δημοκρατια,αττικης(υπολοιπο),male,apostolos_staurou
σταυρου ευαγγελου αποστολος,1996-09-22,2000-03-14,νεα δημοκρατια,αττικης(υπολοιπο),male,apostolos_staurou
σταυρου ευαγγελου αποστολος,2004-03-07,2007-08-18,νεα δημοκρατια,αττικης(υπολοιπο),male,apostolos_staurou
σταυρου ευαγγελου αποστολος,2007-09-16,2009-09-07,νεα δημοκρατια,αττικης(υπολοιπο),male,apostolos_staurou
στεργιου ελευθεριου κωνσταντινος,2015-09-20,2019-06-11,κομμουνιστικο κομμα ελλαδας,μαγνησιας,male,konstantinos_stergiou
στεργιου κωνσταντινου ιωαννα,2002-12-31,2004-02-11,συνασπισμος της αριστερας των κινηματων και της οικολογιας,αττικης(υπολοιπο),female,ioanna_stergiou
στεφαναδης ισιδωρου χριστοδουλος,2019-07-07,2023-04-22,νεα δημοκρατια,σαμου,male,xristodoulos_stefanadis
στεφαναδης ισιδωρου χριστοδουλος,2023-05-21,2023-05-29,νεα δημοκρατια,σαμου,male,xristodoulos_stefanadis
στεφαναδης ισιδωρου χριστοδουλος,2023-06-25,2023-11-13,νεα δημοκρατια,σαμου,male,xristodoulos_stefanadis
αχμετ σαμπρη ιλχαν,2004-03-07,2007-08-18,νεα δημοκρατια,ροδοπης,male,ilxan_axmet
αχμετ σαμπρη ιλχαν,2017-01-13,2019-06-11,δημοκρατικη συμπαραταξη (πανελληνιο σοσιαλιστικο κινημα - δημοκρατικη αριστερα),ροδοπης,male,ilxan_axmet
αχμετ σαμπρη ιλχαν,2017-01-13,2017-01-12,ανεξαρτητοι (εκτος κομματος),ροδοπης,male,ilxan_axmet
αχμετ σαμπρη ιλχαν,2015-09-20,2017-01-12,το ποταμι,ροδοπης,male,ilxan_axmet
αχμετ σαμπρη ιλχαν,2019-07-07,2023-04-22,κινημα αλλαγης,ροδοπης,male,ilxan_axmet
αχμετ σαμπρη ιλχαν,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,ροδοπης,male,ilxan_axmet
αχμετ σαμπρη ιλχαν,2023-06-25,2023-11-13,πασοκ - κινημα αλλαγης,ροδοπης,male,ilxan_axmet
στεφανιδης σοφοκλη μιχαηλ,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,ευβοιας,male,mixail_stefanidis
