member_name,member_start_date,member_end_date,political_party,administrative_region
τζουμακας αθανασιου στεφανος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
τζουμακας αθανασιου στεφανος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
τζουμακας αθανασιου στεφανος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
τζουμακας αθανασιου στεφανος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων
τζουφη στεφανου μεροπη,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ιωαννινων
τζουφη στεφανου μεροπη,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ιωαννινων
τζουφη στεφανου μεροπη,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,ιωαννινων
τζουφη στεφανου μεροπη,2023-05-21,2023-05-29,συριζα - προοδευτικη συμμαχια,ιωαννινων
τζωαννος γαβριηλ ιωαννης,1996-09-22,2000-03-14,νεα δημοκρατια,επικρατειας
τιμοσιδης ιωαννη μιχαηλ,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,καβαλας
τιμοσιδης ιωαννη μιχαηλ,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,καβαλας
τογιας ιωαννη βασιλειος,1994-03-06,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
τογιας ιωαννη βασιλειος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας
τογιας ιωαννη βασιλειος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας
τογιας ιωαννη βασιλειος,2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),βοιωτιας
τογιας ιωαννη βασιλειος,2009-10-04,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας
τολκας χαραλαμπου αγγελος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ημαθιας
τολκας χαραλαμπου αγγελος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,ημαθιας
τολκας χαραλαμπου αγγελος,2021-07-01,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας
τολκας χαραλαμπου αγγελος,2023-05-21,2023-05-29,συριζα - προοδευτικη συμμαχια,ημαθιας
βαληνακης γεωργιου ιωαννης,2004-03-07,2007-08-18,νεα δημοκρατια,επικρατειας
βαληνακης γεωργιου ιωαννης,2007-09-16,2009-09-07,νεα δημοκρατια,δωδεκανησου
τοσκας στεφανου νικολαος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,επικρατειας
τοσκας στεφανου νικολαος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
τραγακης παναγιωτη ιωαννης,1989-06-18,1989-10-12,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,1989-11-05,1990-03-12,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,1990-04-08,1993-09-11,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2004-03-07,2007-08-18,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2007-09-16,2009-09-07,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2009-10-04,2012-04-11,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2012-05-06,2012-05-19,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2012-06-17,2014-12-31,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2015-01-25,2015-08-28,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2015-09-20,2019-06-11,νεα δημοκρατια,β' πειραιως
τραγακης παναγιωτη ιωαννης,2019-07-07,2023-04-22,νεα δημοκρατια,β' πειραιως
τριανταφυλλιδης γεωργιου αλεξανδρος (αλεκος),2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης
τριανταφυλλιδης γεωργιου αλεξανδρος (αλεκος),2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης
τριανταφυλλιδης γεωργιου αλεξανδρος (αλεκος),2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης
τριανταφυλλοπουλος θεοδωρου ανδρεας,2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),αχαιας
τριανταφυλλοπουλος θεοδωρου ανδρεας,2009-10-04,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,αχαιας
τριανταφυλλος δημοσθενη κωνσταντινος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,χιου
τριανταφυλλος δημοσθενη κωνσταντινος,2012-06-17,2014-12-31,πανελληνιο σοσιαλιστικο κινημα,χιου
τριανταφυλλου κωνσταντινου μαρια,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,αιτωλοακαρνανιας
τριανταφυλλου κωνσταντινου μαρια,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,αιτωλοακαρνανιας
τριανταφυλλου κωνσταντινου μαρια,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,αιτωλοακαρνανιας
τριαντοπουλος γεωργιου χρηστος,2023-05-21,2023-05-29,νεα δημοκρατια,μαγνησιας
αγιοστρατιδου χρηστου νικη,2023-05-21,2023-05-29,ελληνικη λυση - κυριακος βελοπουλος,β3' νοτιου τομεα αθηνων
βαλταδωρος δημητριου αγγελος,1989-01-01,1989-06-02,νεα δημοκρατια,ημαθιας
τριαριδης αθανασιου κωνσταντινος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,κιλκις
τριαριδης αθανασιου κωνσταντινος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,κιλκις
τριαριδης αθανασιου κωνσταντινος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,κιλκις
τριαριδης αθανασιου κωνσταντινος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,κιλκις
τριτσης σαββα αντωνιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,κεφαλληνιας
τρυφωνιδης παναγιωτη γεωργιος,1993-10-10,1996-08-24,νεα δημοκρατια,πρεβεζας
τρυφωνιδης παναγιωτη γεωργιος,1996-09-22,2000-03-14,νεα δημοκρατια,πρεβεζας
τρυφωνιδης παναγιωτη γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,πρεβεζας
τρυφωνιδης παναγιωτη γεωργιος,2007-09-16,2009-09-07,νεα δημοκρατια,πρεβεζας
τσαβδαριδης γεωργιου λαζαρος,2007-09-16,2009-09-07,νεα δημοκρατια,ημαθιας
τσαβδαριδης γεωργιου λαζαρος,2012-06-17,2014-12-31,νεα δημοκρατια,ημαθιας
τσαβδαριδης γεωργιου λαζαρος,2019-07-07,2023-04-22,νεα δημοκρατια,ημαθιας
τσαγκαρης λουκα φρανς,1989-06-18,1989-10-12,νεα δημοκρατια,φθιωτιδας
τσαγκαρης λουκα φρανς,1989-11-05,1990-03-12,νεα δημοκρατια,φθιωτιδας
τσαγκαρης λουκα φρανς,1990-04-08,1993-09-11,νεα δημοκρατια,φθιωτιδας
τσακαλωτος στεφανου ευκλειδης,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
τσακαλωτος στεφανου ευκλειδης,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
