date,event,member_name,member_role,gov_date_from,gov_date_to,gov_name
1990-02-13,διορισμος,γεωργιου μυλωνα,υπουργου πολιτισμου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,διορισμος,παυλου σακελλαριδη,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας",1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,διορισμος,θεοδωρου γκαμαλετσου,υπουργου εμποριου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,διορισμος,γεωργιου νουτσοπουλου,υπουργου μεταφορων και επικοινωνιων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-16,παραιτηση,αντωνιου σαμαρα,υπουργου εξωτερικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-16,διορισμος,γεωργιου παπουλια,υπουργου εξωτερικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,ξενοφωντος ζολωτα,πρωθυπουργου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,νικολαου θεμελη,υπουργου προεδριας της κυβερνησης,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,θεοδωρου ντεγιαννη,υπουργου εθνικης αμυνας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,γεωργιου παπουλια,υπουργου εξωτερικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,θεοδωρου κατριβανου,υπουργου εσωτερικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,γεωργιου κοντογεωργη,υπουργου εθνικης οικονομιας και υπουργου τουρισμου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,γεωργιου αγαπητου,υπουργου οικονομικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,ιωαννη λιαππη,υπουργου γεωργιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,ιωαννη κουκιαδη,υπουργου εργασιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,γεωργιου μερικα,"υπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,κωνσταντινου σταματη,υπουργου δικαιοσυνης,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,κωνσταντινου δεσποτοπουλου,υπουργου εθνικης παιδειας και θρησκευματων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,γεωργιου μυλωνα,υπουργου πολιτισμου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,δημητριου μανικα,υπουργου δημοσιας ταξης,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,ιωαννη δεληγιαννη,υπουργου μακεδονιας-θρακης,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,αντωνιου φουσσα,υπουργου αιγαιου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,κωνσταντινου λιασκα,"υπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,παυλου σακελλαριδη,"υπουργου βιομηχανιας , ενεργειας και τεχνολο-γιας",1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,θεοδωρου γκαμαλετσου,υπουργου εμποριου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,γεωργιου νουτσοπουλου,υπουργου μεταφορων και επικοινωνιων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,νικολαου παππα,υπουργου εμπορικης ναυτιλιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,παραιτηση,προκοπη παυλοπουλου,αναπληρωτη υπουργου προεδριας της κυβερνησης,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-04-11,διορισμος,κωνσταντινου μητσοτακη,πρωθυπουργου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1990-04-11,διορισμος,τζαννη τζαννετακη,αντιπροεδρου της κυβερνησης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1990-04-11,διορισμος,αθανασιου κανελλοπουλου,αντιπροεδρου της κυβερνησης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1990-04-11,διορισμος,μιλτιαδη εβερτ,υπουργου προεδριας της κυβερνησης,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1990-04-11,διορισμος,ιωαννη βαρβιτσιωτη,υπουργου εθνικης αμυνας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1990-04-11,διορισμος,αντωνιου σαμαρα,υπουργου εξωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1990-04-11,διορισμος,σωτηριου κουβελα,υπουργου εσωτερικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1990-04-11,διορισμος,γεωργιου σουφλια,υπουργου εθνικης οικονομιας και υπουργου τουρισμου,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1990-04-11,διορισμος,ιωαννη παλαιοκρασσα,υπουργου οικονομικων,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
1990-04-11,διορισμος,μιχαηλ παπακωνσταντινου,υπουργου γεωργιας,1990-04-11,1993-10-13,μητσοτακη κωνσταντινου
